Weekday,Hour,Staffing Demand Score,Full Staffing Recommended
Monday,11,0.3430263515528382,False
Monday,12,0.3566345060699138,False
Monday,13,0.29708820552881754,False
Monday,14,0.2513555282027712,False
Monday,15,0.31537074743770166,False
Monday,16,0.3361459394691994,False
Monday,17,0.5621977125395076,True
Monday,18,0.5893422483173074,True
Monday,19,0.6322672590285682,True
Monday,20,0.5432912509326137,True
Monday,21,0.5598732716093251,True
Monday,22,0.5954370442998452,True
Tuesday,11,0.31071292729071565,False
Tuesday,12,0.4494467853395397,False
Tuesday,13,0.3545525106554446,False
Tuesday,14,0.2880452792368468,False
Tuesday,15,0.3414713794989625,False
Tuesday,16,0.33831945358074056,False
Tuesday,17,0.5753141457728174,True
Tuesday,18,0.5263536156355834,True
Tuesday,19,0.5601916630702982,True
Tuesday,20,0.548492892681785,True
Tuesday,21,0.5988495528866833,True
Tuesday,22,0.5874849644129181,True
Wednesday,11,0.31080866601152163,False
Wednesday,12,0.3872895681892805,False
Wednesday,13,0.3641479638454888,False
Wednesday,14,0.2750628755447419,False
Wednesday,15,0.32654967491725595,False
Wednesday,16,0.2814466133013679,False
Wednesday,17,0.5528334074918743,True
Wednesday,18,0.5641327045269707,True
Wednesday,19,0.5843207929370506,True
Wednesday,20,0.5763004252687058,True
Wednesday,21,0.5806097270661623,True
Wednesday,22,0.6003886305997483,True
Thursday,11,0.3970693197665651,False
Thursday,12,0.3260383108327786,False
Thursday,13,0.34953433588270544,False
Thursday,14,0.252027217709431,False
Thursday,15,0.3977950979750637,False
Thursday,16,0.2641342262223631,False
Thursday,17,0.607500306629737,True
Thursday,18,0.5517294309570988,True
Thursday,19,0.5774181662820485,True
Thursday,20,0.5770658222886311,True
Thursday,21,0.5628070556770031,True
Thursday,22,0.5726385259270738,True
Friday,11,0.3814447422780847,False
Friday,12,0.42823489069351756,False
Friday,13,0.4325478894770443,False
Friday,14,0.33226400978243925,False
Friday,15,0.40529732498778026,False
Friday,16,0.4559466110380533,False
Friday,17,0.5617729812851346,True
Friday,18,0.5688215274798788,True
Friday,19,0.5678380517961267,True
Friday,20,0.5801789903158551,True
Friday,21,0.5636613752670977,True
Friday,22,0.6246099703788872,True
Saturday,11,0.4731092643138606,False
Saturday,12,0.4739527729810385,False
Saturday,13,0.5442780806834293,True
Saturday,14,0.4477491034499283,False
Saturday,15,0.46634717877850673,False
Saturday,16,0.43518877895099023,False
Saturday,17,0.5775009788577091,True
Saturday,18,0.5639720652834753,True
Saturday,19,0.5839555202601642,True
Saturday,20,0.6115242365164831,True
Saturday,21,0.5849488356525475,True
Saturday,22,0.5901985765006749,True
Sunday,11,0.28682421672892094,False
Sunday,12,0.40198370193992133,False
Sunday,13,0.3209303488821766,False
Sunday,14,0.1751423601767236,False
Sunday,15,0.31150816317714874,False
Sunday,16,0.3229233284116811,False
Sunday,17,0.6247880543515975,True
Sunday,18,0.5492400881038064,True
Sunday,19,0.5747458173515281,True
Sunday,20,0.571436656999999,True
Sunday,21,0.5414072111457692,True
Sunday,22,0.6144816763969008,True
